model	R2_mean	RMSE_mean	R2_LFC_mean	RMSE_LFC_mean	Pearson_mean
lat64_enc256x2_do0.2_lr0.0003	0.7884567603468895	0.0506315049829029	-1.5805609449744225	0.0506315044026196	0.9663878025044343
lat64_enc256x3_do0.2_lr0.0003	0.7763061448931694	0.0520195447990434	-1.7105261385440826	0.052019545103083	0.9627027491837736
lat128_enc256x2_do0.2_lr0.0003	0.78684101998806	0.0506420137754808	-1.5835295468568802	0.0506420137754808	0.968144628631127
lat128_enc256x3_do0.2_lr0.0003	0.7767321839928627	0.0519448755788513	-1.7039519101381302	0.0519448755788513	0.9634363967919888
lat256_enc256x2_do0.2_lr0.0003	0.7940628081560135	0.0499074726410267	-1.524191997945309	0.0499074724009201	0.9685297956094212
lat256_enc256x3_do0.2_lr0.0003	0.7736036479473114	0.0526428394360365	-1.7602789998054504	0.0526428394360365	0.9603675553863992
lat64_enc512x2_do0.2_lr0.0003	0.7969570308923721	0.0494837515004686	-1.452661819756031	0.0494837521703282	0.9663379089850556
lat64_enc512x3_do0.2_lr0.0003	0.7835777997970581	0.0511965767566113	-1.6231292933225632	0.0511965777023583	0.9620449510148196
lat128_enc512x2_do0.2_lr0.0003	0.8040691763162613	0.0486012603869839	-1.36518345028162	0.0486012604613166	0.9661837565857344
lat128_enc512x3_do0.2_lr0.0003	0.7919196486473083	0.0503719660178403	-1.543835312128067	0.0503719660178403	0.9658401925645284
lat256_enc512x2_do0.2_lr0.0003	0.8045769333839417	0.0485684571159324	-1.372172385454178	0.0485684571159324	0.968171134006374
lat256_enc512x3_do0.2_lr0.0003	0.7956075668334961	0.0497208028634252	-1.4746526554226875	0.0497208030448666	0.9656478509501566
lat64_enc128x2_do0.3_lr0.0001	0.7602482736110687	0.0538091552436257	-1.9123610258102417	0.0538091552436257	0.9656357175871396
lat64_enc128x3_do0.3_lr0.0001	0.7553951442241669	0.0543326564598033	-1.973615884780884	0.0543326564598033	0.965890266531168
lat128_enc128x2_do0.3_lr0.0001	0.7583905830979347	0.0541216742689928	-1.9244939386844635	0.0541216748588167	0.961277422740659
lat128_enc128x3_do0.3_lr0.0001	0.7510835602879524	0.0548025895902964	-2.014687642455101	0.0548025895902964	0.9645601236818075
lat256_enc128x2_do0.3_lr0.0001	0.7643843740224838	0.0533459200799817	-1.8587315678596497	0.0533459200799817	0.965683680097521
lat256_enc128x3_do0.3_lr0.0001	0.7516034469008446	0.0547253414057514	-2.0156767815351486	0.0547253414057514	0.9650611052127228
lat64_enc256x2_do0.3_lr0.0001	0.7746636718511581	0.0522426543476847	-1.7499282658100128	0.0522426543476847	0.9643960645078452
lat64_enc256x3_do0.3_lr0.0001	0.7644931077957153	0.0533130348651202	-1.8499127626419067	0.0533130348651202	0.964902278401508
lat128_enc256x2_do0.3_lr0.0001	0.7702898234128952	0.0525932197598194	-1.7865764200687408	0.0525932197598194	0.9674619738770704
lat128_enc256x3_do0.3_lr0.0001	0.7578502222895622	0.0541235756840862	-1.9344551712274551	0.0541235755125258	0.9635766467875776
lat256_enc256x2_do0.3_lr0.0001	0.773722343146801	0.0522152726982458	-1.764537125825882	0.0522152726982458	0.9686471776751386
lat256_enc256x3_do0.3_lr0.0001	0.7621492147445679	0.0537262089028915	-1.8868888914585116	0.0537262091568101	0.9637623488022096
lat64_enc128x3_do0.05_lr0.0003	0.7828714028000832	0.0513302792089121	-1.6474444568157196	0.0513302788937754	0.9656977338667168
lat128_enc128x2_do0.05_lr0.0003	0.7887240275740623	0.0506531857954527	-1.5534340143203735	0.0506531857954527	0.9629181637525946
lat128_enc128x3_do0.05_lr0.0003	0.769322894513607	0.0530608911147178	-1.79087994992733	0.0530608903782042	0.9593859207496196
lat256_enc128x2_do0.05_lr0.0003	0.796081155538559	0.0496313839972044	-1.490466021001339	0.0496313839972044	0.9691124652709336
lat256_enc128x3_do0.05_lr0.0003	0.7775236591696739	0.0518287010102406	-1.6892738416790962	0.0518287013213195	0.9660039585386052
lat64_enc256x2_do0.05_lr0.0003	0.8004071414470673	0.0491472701328574	-1.4463666304945946	0.0491472699531175	0.9676817026970486
lat64_enc256x3_do0.05_lr0.0003	0.7985145598649979	0.0494821434063429	-1.4375401884317398	0.0494821434063429	0.9659017868585108
lat128_enc256x2_do0.05_lr0.0003	0.8054544702172279	0.0483316211400529	-1.3478837609291077	0.0483316208053937	0.9689305241152824
lat128_enc256x3_do0.05_lr0.0003	0.7919051125645638	0.0499992393294462	-1.513791210949421	0.0499992390807341	0.966512310844574
lat256_enc256x2_do0.05_lr0.0003	0.8110773488879204	0.0478475526931248	-1.3259855285286903	0.0478475526931248	0.9687152958948532
lat256_enc256x3_do0.05_lr0.0003	0.8004515916109085	0.0491684561298899	-1.442667506635189	0.0491684561298899	0.9672767679337468
lat64_enc512x2_do0.05_lr0.0003	0.807600662112236	0.0480970064315307	-1.3211178705096245	0.0480970070287593	0.9683461183595188
lat64_enc512x3_do0.05_lr0.0003	0.8003275990486145	0.0491492465293434	-1.4171751737594604	0.0491492465293434	0.9642034988421272
lat128_enc512x2_do0.05_lr0.0003	0.8047530502080917	0.0486271724919185	-1.3536565005779266	0.0486271720257872	0.9652603272208512
lat128_enc512x3_do0.05_lr0.0003	0.8151030540466309	0.0473703386319113	-1.2788530811667442	0.0473703386477818	0.972143388344028
lat256_enc512x2_do0.05_lr0.0003	0.8116552010178566	0.0477567060239292	-1.2919108867645264	0.0477567055142655	0.9686007553436744
lat256_enc512x3_do0.05_lr0.0003	0.8113362863659859	0.0477287206435336	-1.2882619425654411	0.0477287206435336	0.9678275087920024
lat64_enc128x2_do0.2_lr0.0001	0.7715686336159706	0.0525826202773036	-1.7751796245574951	0.0525826202773036	0.9634232833079246
lat64_enc128x3_do0.2_lr0.0001	0.7599157392978668	0.0538411872676821	-1.918522760272026	0.0538411867677436	0.9658513846919374
lat128_enc128x2_do0.2_lr0.0001	0.7624633312225342	0.0536605121413115	-1.877925291657448	0.0536605121413115	0.9618536766896408
lat64_enc512x2_do0.3_lr0.0001	0.7795648574829102	0.051559989507488	-1.6661673337221146	0.051559989507488	0.9665464964495618
lat64_enc512x3_do0.3_lr0.0001	0.7693609595298767	0.0527082544556456	-1.7985756397247314	0.0527082545217736	0.964715192324424
lat128_enc512x2_do0.3_lr0.0001	0.7789963707327843	0.0515217478856076	-1.682482212781906	0.0515217481277582	0.967347173454042
lat128_enc512x3_do0.3_lr0.0001	0.7785637453198433	0.0517441157308371	-1.7013290971517565	0.0517441155581092	0.9676548195836608
lat256_enc512x2_do0.3_lr0.0001	0.7853729873895645	0.0508272236979463	-1.6152511537075045	0.0508272250984949	0.9706841290734238
lat256_enc512x3_do0.3_lr0.0001	0.7740539237856865	0.0522914506492127	-1.7350116670131683	0.0522914497084215	0.965275527181324
lat64_enc128x2_do0.3_lr0.0003	0.7625741437077522	0.0536405811201451	-1.886838719248772	0.0536405806841642	0.9636671274781408
lat64_enc128x3_do0.3_lr0.0003	0.7567836791276932	0.0541724296831925	-1.955703318119049	0.0541724296831925	0.9638431158964864
lat128_enc128x2_do0.3_lr0.0003	0.7603846490383148	0.0539750698928925	-1.90093694627285	0.0539750694640198	0.9596977208192368
lat128_enc128x3_do0.3_lr0.0003	0.755089171230793	0.0544029286886169	-1.9640561789274216	0.0544029282703439	0.9629235013987092
lat256_enc128x2_do0.3_lr0.0003	0.7684471905231476	0.0529115365030275	-1.8074817210435867	0.0529115353974061	0.9648518601085152
lat256_enc128x3_do0.3_lr0.0003	0.7575169503688812	0.0541122416731829	-1.9386391639709477	0.0541122416731829	0.963842220061919
lat128_enc256x3_do0.05_lr0.0001	0.7765734493732452	0.0518809448436651	-1.703276827931404	0.051880945155842	0.9655425483480884
lat256_enc256x2_do0.05_lr0.0001	0.7876489385962486	0.0505630777661369	-1.6030006483197212	0.0505630775319786	0.9691259242227916
lat256_enc256x3_do0.05_lr0.0001	0.7828912809491158	0.0513204190839461	-1.643738642334938	0.0513204184543922	0.9655521235758928
lat64_enc512x2_do0.05_lr0.0001	0.7894459813833237	0.0503140879418882	-1.5476597547531128	0.0503140874936598	0.9687218368585756
lat64_enc512x3_do0.05_lr0.0001	0.7800353020429611	0.051382208767905	-1.6724667474627497	0.0513822085919518	0.965386150038264
lat128_enc512x2_do0.05_lr0.0001	0.7870227918028831	0.0505574977405365	-1.583512932062149	0.0505574974132748	0.9692798488025371
lat128_enc512x3_do0.05_lr0.0001	0.7961907535791397	0.0496243012276938	-1.49790408462286	0.0496243012276938	0.9707161135171972
lat256_enc512x2_do0.05_lr0.0001	0.793201707303524	0.0498780175253748	-1.5183744207024574	0.0498780173599689	0.9707582176743966
lat256_enc512x3_do0.05_lr0.0001	0.7877558395266533	0.0506037348801533	-1.576008766889572	0.0506037348801533	0.9694222096057996
lat64_enc128x2_do0.05_lr0.0003	0.7871233597397804	0.0510874501271163	-1.604408621788025	0.0510874501271163	0.9606528920537458
lat64_enc256x2_do0.3_lr0.0003	0.781671792268753	0.051391183910129	-1.661891683936119	0.05139118362113	0.9672803925806424
lat64_enc256x3_do0.3_lr0.0003	0.7684646919369698	0.0529123998494143	-1.8017792701721191	0.0529123998494143	0.963865499413715
lat128_enc256x2_do0.3_lr0.0003	0.7785446718335152	0.0516693887601674	-1.683696210384369	0.0516693884449223	0.9670913986312156
lat128_enc256x3_do0.3_lr0.0003	0.7672536447644234	0.0530943711995814	-1.819024845957756	0.0530943715023058	0.9626385422610368
lat256_enc256x2_do0.3_lr0.0003	0.7833839431405067	0.0511459767288861	-1.6423274800181389	0.0511459764410073	0.9677092755449386
lat256_enc256x3_do0.3_lr0.0003	0.7675745040178299	0.053176388086722	-1.8164706379175184	0.053176388086722	0.9609350793455972
lat256_enc128x2_do0.05_lr0.0001	0.778405025601387	0.0516961892500614	-1.6975564360618591	0.0516961892500614	0.9679297624276004
lat256_enc128x3_do0.05_lr0.0001	0.769746407866478	0.0528464634181858	-1.7791513800621033	0.0528464634181858	0.9630274649795664
lat64_enc256x2_do0.05_lr0.0001	0.7837224528193474	0.0511518134743859	-1.6517697423696518	0.0511518134743859	0.9661984875333398
lat64_enc512x2_do0.3_lr0.0003	0.7945496663451195	0.049780989723572	-1.4795271009206772	0.0497809899036523	0.967050404567656
lat64_enc256x3_do0.05_lr0.0001	0.781673289835453	0.0512236624891403	-1.6587144583463669	0.0512236617187093	0.96718729110759
lat64_enc512x3_do0.3_lr0.0003	0.7718072757124901	0.05263278960514	-1.7645956724882126	0.05263278960514	0.9598783900383828
lat128_enc256x2_do0.05_lr0.0001	0.7830120250582695	0.0509744423059594	-1.6314267963171003	0.0509744412513435	0.9708080737015156
lat128_enc512x2_do0.3_lr0.0003	0.7925329878926277	0.0500254402236123	-1.5038557425141337	0.0500254402236123	0.9655343678673676
lat128_enc128x2_do0.05_lr0.0001	0.7749683931469917	0.0522560146087172	-1.7224217057228088	0.0522560146087172	0.9629166913016008
lat128_enc128x3_do0.05_lr0.0001	0.7663843035697937	0.0531641992697895	-1.8327265083789823	0.0531641991391568	0.9660476776271202
lat128_enc512x3_do0.3_lr0.0003	0.7864268645644188	0.0509840902665096	-1.59808811545372	0.0509840902665096	0.9653506067677388
lat256_enc512x2_do0.3_lr0.0003	0.7988160401582718	0.0492643424775821	-1.450289011001587	0.0492643424775821	0.9702216219616316
lat64_enc128x3_do0.05_lr0.0001	0.7708377242088318	0.0525993904806857	-1.7935733124613762	0.0525993909578841	0.968800597384872
lat256_enc512x3_do0.3_lr0.0003	0.781801775097847	0.051420395275503	-1.6454398185014725	0.0514203955919417	0.9643005890985944
lat64_enc128x2_do0.05_lr0.0001	0.7707039564847946	0.0527911723330307	-1.790976420044899	0.0527911723330307	0.9637002670490502
